"hopt_dist","hopt_edu","hopt_safe","hopt_nroom","hopt_fq","hopt_loc","hopt_price_rnorm","hopt_price"
2,0,4,1,2,4,0.25181157936588,222254.686121859
4,1,4,4,4,3,2.160014542298,393655.822191402
3,0,2,4,4,2,-0.0623123314128189,207589.771502755
1,0,3,1,4,4,-0.0551334804474198,207618.998038783
5,0,4,4,5,2,3.23428988112601,496655.555690518
4,1,3,2,1,2,-0.548704130898222,195501.075885078
3,1,5,4,3,3,2.92213981663152,550512.292491523
3,1,1,1,3,3,-0.256833516726603,205306.199242237
2,0,2,2,4,2,-1.05649126040698,181498.710562144
5,0,2,1,3,1,0.0385869603842325,217015.823665422
2,0,1,2,4,3,-0.502873579966656,192863.254912204
1,1,4,4,5,4,2.07058491410005,404419.691000113
5,0,4,1,3,3,0.56000875334765,231339.040100953
3,0,2,2,3,5,0.442661011722007,227696.914239654
1,0,3,1,3,1,-2.178925660009,132877.197283562
1,1,1,3,4,2,-1.3414679598979,177567.564056678
5,1,3,4,3,3,1.85361441641645,423588.819346289
2,0,4,1,3,4,0.257424729218779,216833.258321506
3,0,1,1,3,5,0.230221094533963,219364.030878821
2,1,5,0,3,3,0.231537210060778,222163.534917112
4,0,5,2,4,2,0.699833712879697,234559.625958885
3,1,3,0,2,5,0.0202617354695936,215811.974618173
4,0,1,0,1,3,-1.85593957924262,118212.208893151
1,0,5,4,2,3,0.153505001543421,221561.372673542
5,0,5,2,2,2,0.762039645387603,242436.292638265
2,1,5,4,3,1,0.0245988502034087,213152.846352041
2,0,2,3,3,1,-1.20247297912011,176472.191360781
4,0,4,3,2,1,0.388821991225471,224372.69120194
4,0,2,1,4,4,0.384856486299092,225302.07512052
4,0,4,1,5,2,0.82511565064604,237946.249656176
4,0,4,3,2,3,0.715882867694781,235783.700119247
2,0,5,2,3,1,-0.256852506843489,207116.304483386
4,1,5,2,4,2,1.20703826065882,304567.280472789
2,1,4,1,5,3,1.02495767874955,257180.904969015
1,0,3,2,2,4,0.0979402448834268,213452.94503068
4,0,2,2,4,1,-0.781320140667471,185196.114701746
3,0,3,3,2,3,0.21520501549112,216686.507085851
4,0,1,3,2,5,0.646384091816933,233973.929973575
3,0,3,2,3,1,-0.33468780220149,199011.232536506
3,1,1,1,4,5,0.767243714600261,243736.082310406
1,1,2,1,4,3,-0.900522934988899,188422.964080761
4,0,1,0,3,3,-1.27636465450105,179927.81837021
2,0,2,4,4,1,-0.379545050153967,199626.080942231
4,0,1,4,3,2,-0.198066313528352,202606.028446403
5,0,3,1,3,4,1.26449965103749,248717.335412442
4,1,4,3,3,2,0.808739005100878,238773.197728577
4,0,3,1,1,1,-1.33218526193299,177757.48667212
5,1,4,1,3,3,1.62862863844998,322704.443769846
3,0,2,0,3,1,-1.96699958664527,154534.882689135
3,1,5,3,3,1,0.446319314755846,226797.39265286
2,0,3,4,4,2,0.281815171064747,225670.833579288
4,1,2,1,4,3,0.893753081711944,235815.72702022
4,1,2,0,1,5,0.70369336269915,232125.787012203
2,0,2,3,4,4,0.374290332572482,222751.998401622
1,0,3,0,4,2,-0.999444460778562,181716.333352442
2,0,3,3,3,1,-1.36932122076506,175723.44498724
4,0,2,0,4,4,0.480744861573221,230037.012640133
4,0,2,2,4,4,0.821608325677878,245202.387358489
5,1,5,1,3,2,1.71845961525481,364620.471642845
2,0,3,3,3,2,-0.368485065166313,200250.539548108
2,0,4,1,3,4,0.358867653601646,223245.848737945
2,0,4,2,3,3,0.660691985843086,236894.148803721
2,0,3,1,3,2,-1.02662580690565,184082.877981678
3,0,4,3,5,2,0.57800159467424,232700.028808683
3,0,5,1,2,2,-0.116742115883752,213286.464898078
3,0,2,1,1,5,-0.0369017150993745,212543.791032484
3,0,3,0,1,3,-0.837488054380914,188129.236037607
2,0,1,0,3,4,-1.72308021819164,168235.848132385
4,0,3,1,5,2,0.568702571774309,231007.8911568
3,0,4,1,2,2,-0.876673017396212,187594.884683232
