"position_code","n_obs","gender_prob","age_mean","age_max","sectors_code","position_clean","CSEP_prob","salary_mean","salary_max","salary_sd","edu_mean","edu_sd","edu_min","edu_max","eng_mean","eng_sd","eng_min","edu","log_salary","hpr","rpe_needed","salary","gender","rank"
1,4,0.5,31.75,34,0,"Care Worker",0.9,25645.856594283,27000.4997848529,2681.44734510721,77.5080741985466,0.918193183343274,76.6661303286653,78.4741129245104,94.4028064367314,2.31060071506077,91.7612473286017,77.5080741985466,10.1521373012653,0.339247151515895,1,27691.9634817698,0,1
2,8,0.625,36.5,46,0,"Dental",1,66362.6379225432,83983.5841835721,10863.3903146625,94.3488701072087,1.10143947522554,93.0842556967453,95.7818431778001,94.7726386065869,3.43449904047803,88.0600734050366,94.3488701072087,11.1028894952103,0.005,1,78945.9504498591,1,3
3,127,0.590551181102362,34.4645669291339,55,0,"Doctor",1,108259.73105148,134107.055421185,14792.1829045819,95.2377674080725,1.69480697269889,91.459523721659,100.56426291711,91.9659879154325,2.85238953034693,87.9368698770661,95.2377674080725,11.5922885360645,0.005,1,147046.619087405,1,3
4,37,0.810810810810811,37.4324324324324,57,0,"General Practitioner",1,87718.4368840492,111076.9102046,11963.4789634025,90.2391749755778,1.60461609532165,86.9022692943568,92.9099775479436,91.6811901981267,3.02937802555424,88.3135722712671,90.2391749755778,11.3818873829938,0.005,1,84288.1528826671,1,3
5,18,0.722222222222222,33.2222222222222,41,0,"Health",1,48923.9909818406,64002.9719127992,5815.28672849153,94.8456985552263,1.33137082178159,91.7547402640151,97.0001716799336,92.5079967883557,2.52360272381164,88.0495072967776,94.8456985552263,10.7980231682773,0.0367337361968341,1,54681.6879632592,1,3
6,658,0.668693009118541,33.0531914893617,49,0,"Medical",1,28156.3833904629,35075.0309805004,3804.61636732177,95.00737859051,1.44188754618598,91.0635814673961,99.4118920263815,91.3046823051116,2.59004238151621,86.9361092235446,95.00737859051,10.2455293712876,0.140417885985831,1,26146.0164554014,1,3
7,2206,0.190843155031732,32.5938349954669,54,0,"Nursing",0.9,35865.1946508633,45103.3706950915,4693.34880968875,75.0372613083871,1.42697747988999,70.2522191530373,80.3839833926321,94.2028352324465,2.67431427303003,87.0594116358404,75.0372613083871,10.4875225958667,0.300850675985252,1,35777.3451746002,0,1
8,62,0.693548387096774,34.3548387096774,48,0,"Registrar (Medical/College)",1,53384.7771490403,67043.9770997962,7398.27959521379,85.6197402209644,1.30914175293933,83.6676912253558,88.7021394821772,91.0963747963246,2.58510171395589,87.9610897339173,85.6197402209644,10.8852809121922,0.115531444876257,1,46385.2237065283,1,3
9,7,0.142857142857143,31.7142857142857,34,0,"Resident",1,51637.0949085931,64979.3297921911,6438.3791057397,82.7647230462121,1.12537885842116,81.1723442659249,83.9013241038163,91.8256085153519,3.35513082349961,89.1228413653106,82.7647230462121,10.8519955867668,0.151412201318814,1,44098.8290282735,0,2
10,16,1,35.3125,42,1,"Architect",0.9,46891.3280244372,56053.2324348069,6620.28007371204,90.199146555887,1.25220922331705,88.5415433518705,92.3723056801052,66.1530056920614,3.16851736664574,60.3768543364289,90.199146555887,10.7555880338075,0.0928916753675426,1,33628.929433696,1,3
