"gender","marriage","age","rank","kid","com","growth_origin","sectors_code","position_code","ccode","com_size","CSEP_prob","position_clean","nationality","n_fam","CSEP","salary","fam_wealth","edu","eng","livcost","wealth_init","wealth_rank","com_house","com_child","hpref_dist","hpref_safe","hpref_fq","hpref_loc","hpref_edu","hpref_nroom","salary_mth","hpref_price","spouse_edu","spouse_rpe","spouse_gender","spouse_age","visaperiod"
1,1,34,1,2,0.392472246971173,-2.95490018786325,3,60,40,1,0.95,"Information Technology/Software","Cuba",4,1,46095.2097275288,7715.80971385052,86.6680228636588,84.6334933524653,930.552930776658,53811.0194413793,4,1,1,4,4,4,4,1,2,3841.26747729407,2880.95060797055,93.8117133017481,1,0,30.6498142682645,365
1,1,29,3,3,0.170113956397744,-2.95490018786325,3,60,40,1,0.95,"Information Technology/Software","Cuba",5,1,64005.8135887215,7717.93245958632,84.3017578135539,81.5824114557331,1293.56092445924,71723.7460483078,4,3,1,4,4,5,4,1,2,5333.81779906012,4000.36334929509,71.546032268829,0,0,26.1048159114791,13505
0,0,31,3,0,-0.191502771861439,-1.2895991568896,2,40,41,1,0.8,"Consultancy","Haiti",1,1,130011.473755498,1206.88834495016,76.4565388466772,79.6624266521722,2576.4196311321,131218.362100448,5,2,0,5,4,5,4,0,1,10834.2894796248,9750.86053166234,78.01,1,1,28.0587245076875,12775
0,0,31,2,0,-0.33031246581509,-1.2895991568896,2,40,41,1,0.8,"Consultancy","Haiti",1,1,103952.791693559,1351.76348694589,78.893875249636,76.9626770407549,2068.42828332731,105304.555180505,5,2,0,4,4,5,4,0,0,8662.73264112994,7796.45937701694,78.01,1,1,28.9376076155967,730
1,0,44,3,0,0.67954668104839,-1.2895991568896,0,3,41,1,1,"Doctor","Haiti",1,1,134008.634043121,1199.32705656251,96.2176569732598,93.0723663622427,2707.8078275415,135207.961099683,5,3,0,4,4,4,5,0,1,11167.3861702601,10050.6475532341,78.01,0,0,40.7368962995183,8030
1,0,34,1,0,-0.88426999953983,-1.2895991568896,0,3,41,1,1,"Doctor","Haiti",1,1,96532.6378489315,1374.57160913862,94.4381396871136,93.7458556451517,1928.69050692674,97907.2094580701,5,2,0,4,5,4,5,0,1,8044.38648741096,7239.94783866986,78.01,1,0,32.0287532468302,365
0,0,37,3,0,1.22902628822777,-1.2895991568896,0,6,41,1,1,"Medical","Haiti",1,1,35003.197381997,1269.73156253803,95.905291052876,97.0733729004987,701.430674979871,36272.928944535,2,1,1,2,2,2,2,0,1,2916.93311516642,1166.77324606657,78.01,0,1,35.1798722927084,10585
0,0,34,1,0,-1.6638638085255,-1.2895991568896,0,6,41,1,1,"Medical","Haiti",1,1,25200.4559704,1503.19106657553,94.9949802777162,95.9809358746036,504.341639907021,26703.6470369755,1,1,0,2,2,2,2,0,0,2100.03799753333,735.013299136667,78.01,1,1,32.5760907377576,365
1,0,28,3,0,0.163306486511342,4.39661161463393,7,78,42,1,0,"Customer Service","Dominican Republic",1,0,40051.1493549303,8023.72434889857,73.381317168879,84.9345496600442,817.959182511465,48074.8737038289,3,3,1,4,4,4,4,0,0,3337.59577957753,2002.55746774652,78.01,0,0,25.8699072805581,13870
0,0,26,1,0,-1.39324169232529,4.39661161463393,7,78,42,1,0,"Customer Service","Dominican Republic",1,0,28779.9962086906,8118.15444366669,71.1996437138463,79.6792636496258,570.829542729429,36898.1506523573,2,1,0,3,2,3,2,0,1,2398.33301739088,959.333206956354,78.01,0,1,25.1371845341268,365
1,1,31,3,3,0.441349529275111,4.39661161463393,0,3,42,1,1,"Doctor","Dominican Republic",5,1,134006.216241386,8092.24418308641,95.9093227511218,98.769312658347,2660.32196412711,142098.460424473,5,1,0,4,5,5,4,1,2,11167.1846867822,10050.466218104,75.4160014613348,1,0,29.9190410720593,12775
1,0,34,1,0,0.0882289789203208,4.39661161463393,0,3,42,1,1,"Doctor","Dominican Republic",1,1,96428.9154817844,8227.10514101447,95.8790010140118,96.9184247085267,1907.42631027214,104656.020622799,5,1,0,5,5,5,4,0,1,8035.74295681537,7232.16866113383,78.01,0,0,32.9271947915873,365
1,1,33,1,1,-0.187322281381567,4.39661161463393,3,61,42,1,0.95,"Networks","Dominican Republic",3,0,32394.3454934822,8019.01920496466,84.3440468784944,84.3823613838419,645.83514820035,40413.3646984469,3,2,1,4,3,4,3,1,3,2699.52879112352,1619.71727467411,87.0657593638868,0,0,30.7121519599847,365
1,1,33,1,0,-0.890814566486519,4.39661161463393,3,61,42,1,0.95,"Networks","Dominican Republic",2,1,32374.0629827525,8277.39340605932,89.1960472486439,83.7749740027689,652.88470972917,40651.4563888118,3,3,1,3,4,4,3,0,1,2697.83858189604,1618.70314913762,82.9721052969275,1,0,31.4352332664314,365
